,principal component 1,principal component 2,class
517,1.375026490380987,-1.3827330266758808,acceptable
518,1.3556280091203876,-1.4280335757430809,acceptable
519,1.2746858251104607,-1.4527321546127154,acceptable
520,1.3204341343349284,-1.3515126543014222,acceptable
521,1.3650544328333096,-1.2662463769078418,acceptable
522,1.3200359687956085,-1.4101734283182314,acceptable
523,1.3270531522979419,-1.4610622532770798,acceptable
524,1.349660536941099,-1.4724262985388799,acceptable
525,1.3716648500155253,-1.4175335455788933,acceptable
526,1.3489989593155491,-1.4512619906397661,acceptable
527,1.4359307616928525,-1.2719551574431538,acceptable
528,1.389047049175113,-1.4202971093599963,acceptable
529,1.424927291376937,-1.2730607938383944,acceptable
530,1.3296750569456028,-1.4931834875176817,acceptable
531,1.3930588111571571,-1.3655266808632922,acceptable
532,1.4033940814935302,-1.2479153418123676,acceptable
533,1.3422854856733297,-1.3432673126042305,acceptable
534,1.262595337355595,-1.2578514977617286,acceptable
535,1.2560757178309103,-1.1932757352654662,acceptable
536,1.253463408771842,-1.2327243757560997,acceptable
537,1.2503261923405666,-1.3311571272647145,acceptable
538,1.290784483947342,-1.2319527198006592,acceptable
539,1.3238393966049233,-1.2436597492322534,acceptable
540,1.2950303064921698,-1.3264612354957495,acceptable
541,1.3871948884703795,-1.1456510822541197,acceptable
542,1.3689018505510555,-1.2365219403756398,acceptable
543,1.390571227978563,-1.1332718162651212,acceptable
544,1.4849795178771101,-1.0215708075009382,acceptable
545,1.4603338812415887,-1.1130633246150479,acceptable
546,1.4403037267770689,-1.1480873355142789,acceptable
547,1.1631581085433438,-1.2332338266595002,acceptable
548,0.9542823019284037,-1.0679180495577543,acceptable
549,0.9383232616874041,-1.0089304943648858,acceptable
550,1.0211051132028162,-0.8581054171036473,acceptable
551,1.085009924754428,-0.812389898836583,acceptable
552,1.2771344985817528,-0.550586304737346,acceptable
553,1.7300334249086218,0.3099726300763322,acceptable
554,1.7362853714888808,0.09848670996647581,acceptable
555,1.68556067461889,-0.08928386734379538,acceptable
556,1.8005148193839438,0.04338341497069436,acceptable
557,1.7740947478316966,-0.10733093554775544,acceptable
558,1.7138506606784418,-0.23011006679327836,acceptable
559,1.7121412348463156,-0.3228789641722706,acceptable
560,1.801744846726797,-0.13673546550487128,acceptable
561,1.7978322586462219,-0.23671789427019405,acceptable
562,1.4505202229876508,-0.7821855322313289,acceptable
563,1.587001099080399,-0.36186517553817044,acceptable
564,1.5893283350607712,-0.29678166411103774,acceptable
565,1.17611521172873,-1.1557213167391551,acceptable
566,1.1242011717801206,-1.3342501037872132,acceptable
567,1.1164503647760622,-1.5401597242839469,acceptable
568,1.1689011580242932,-1.3784024267915653,acceptable
569,1.2031304563400183,-1.3726969693169664,acceptable
570,1.2299223450443462,-1.3788593949843622,acceptable
571,1.2166121587453504,-1.532338733266741,acceptable
572,1.2481651158376526,-1.5495603585720752,acceptable
573,1.2439568769234737,-1.5256298606831495,acceptable
574,1.2668993415478254,-1.5358745797953082,acceptable
575,1.3104029185064958,-1.4432082264463182,acceptable
576,1.2673643659971927,-1.587082590182309,acceptable
577,1.26987677915863,-1.5749607995762942,acceptable
578,1.277737833883114,-1.586493044488275,acceptable
579,1.2365105680301587,-1.6097377460333036,acceptable
580,1.272461380417895,-1.572172039025761,acceptable
581,1.2432159170179171,-1.5653239444957228,acceptable
582,1.2136073564027159,-1.6036176266809008,acceptable
583,1.24868980507712,-1.5018364123287486,acceptable
584,1.2232726885088954,-1.4908327942631738,acceptable
585,1.187400107138086,-1.585958640976696,acceptable
586,1.1768110936116305,-1.5708121408452893,acceptable
587,1.1134815165157492,-1.5826118151690514,acceptable
588,0.7637850739718083,-1.5645817141929896,acceptable
589,0.6026095201932723,-1.45220189480021,acceptable
590,0.6287646488414127,-1.2829201172951799,acceptable
591,0.7493366749517085,-1.3087579437517198,acceptable
592,0.7601471720184485,-1.4956836074283362,acceptable
